Movie Name,Year,Duration,IMDb Rating,Metascore,Votes,Gross
Underground,1995,167 min,8.1,79,60349,0.17M
Paper Moon,1973,102 min,8.1,77,51049,30.93M
It Happened One Night,1934,105 min,8.1,87,109608,4.36M
All Quiet on the Western Front,1930,152 min,8.1,91,66482,3.27M
Tokyo Story,1953,136 min,8.1,100,66319,N/A
The Battle of Algiers,1966,121 min,8.1,96,64073,0.06M
The Grapes of Wrath,1940,129 min,8.1,96,98139,0.06M
Fanny and Alexander,1982,188 min,8.1,100,66282,4.97M
The Message,1976,177 min,8.1,N/A,49868,N/A
The 400 Blows,1959,99 min,8.1,N/A,125138,N/A
Three Colors: Red,1994,99 min,8.1,100,108071,4.04M
Winter Sleep,2014,196 min,8.1,88,54294,0.17M
Wild Strawberries,1957,91 min,8.1,88,112522,N/A
Andrei Rublev,1966,205 min,8.1,N/A,56056,0.10M
A Woman Under the Influence,1974,155 min,8.1,88,27756,13.34M
Yi Yi,2000,173 min,8.1,94,27327,1.14M
Lagaan: Once Upon a Time in India,2001,224 min,8.1,84,118604,0.91M
White Heat,1949,114 min,8.1,89,34992,N/A
The Gold Rush,1925,95 min,8.1,N/A,116371,5.45M
Inherit the Wind,1960,128 min,8.1,75,32113,N/A
Mr. Smith Goes to Washington,1939,129 min,8.1,73,119513,9.60M
The Passion of Joan of Arc,1928,114 min,8.1,98,58993,0.02M
Munna Bhai M.B.B.S.,2003,156 min,8.1,N/A,86369,N/A
The General,1926,78 min,8.1,N/A,96146,1.03M
OMG: Oh My God!,2012,125 min,8.1,N/A,63684,0.92M
Sunrise,1927,94 min,8.1,95,53077,0.54M
The Hidden Fortress,1958,126 min,8.1,89,41333,N/A
Wolf Children,2012,117 min,8.1,71,48042,N/A
Throne of Blood,1957,110 min,8.1,N/A,54799,N/A
Nights of Cabiria,1957,110 min,8.1,N/A,51208,0.75M
Autumn Sonata,1978,99 min,8.1,N/A,36848,N/A
Talvar,2015,132 min,8.1,N/A,37194,0.34M
Raise the Red Lantern,1991,125 min,8.1,N/A,34584,2.60M
Article 15,2019,130 min,8.1,N/A,35919,N/A
Dil Chahta Hai,2001,183 min,8.1,N/A,74759,0.30M
Masaan,2015,109 min,8.1,N/A,30034,N/A
Pink,2016,136 min,8.1,N/A,47187,1.24M
Rififi,1955,118 min,8.1,97,36208,0.06M
Ace in the Hole,1951,111 min,8.1,72,38333,3.97M
